N,A_full_recon,A_full_ratio,A_full_relerr,A_tile_recon,A_tile_ratio,A_tile_relerr
2.000000000000000000e+02,6.285551247841201672e+00,1.000376551151358262e+00,3.765511513582620040e-04,2.096621019409917519e+00,1.001062797088371203e+00,1.062797088371203458e-03
2.470000000000000000e+02,6.396174409224561153e+00,1.017982774105972377e+00,1.798277410597237669e-02,2.095160007182910622e+00,1.000365215134833674e+00,3.652151348336740710e-04
3.040000000000000000e+02,6.247466408077900546e+00,9.943151606461660963e-01,-5.684839353833903708e-03,2.092117847971097344e+00,9.989126911061356751e-01,-1.087308893864324943e-03
3.750000000000000000e+02,6.273540569026079261e+00,9.984649922480424156e-01,-1.535007751957584432e-03,2.094023890672157773e+00,9.998227594589896849e-01,-1.772405410103150558e-04
4.620000000000000000e+02,6.316280852987278038e+00,1.005267319709618468e+00,5.267319709618467627e-03,2.093710198666882238e+00,9.996729825592456375e-01,-3.270174407543624540e-04
5.700000000000000000e+02,6.326611076090718377e+00,1.006911425779773106e+00,6.911425779773106015e-03,2.094507561647291460e+00,1.000053695338557480e+00,5.369533855748009898e-05
7.020000000000000000e+02,6.266484393240585149e+00,9.973419669924555864e-01,-2.658033007544413628e-03,2.094643542085416588e+00,1.000118621215231762e+00,1.186212152317622781e-04
8.660000000000000000e+02,6.259375719027472584e+00,9.962105863526088401e-01,-3.789413647391159934e-03,2.094377069368123845e+00,9.999913898647629917e-01,-8.610135237008265108e-06
1.067000000000000000e+03,6.288916373761431089e+00,1.000912127575689370e+00,9.121275756893698627e-04,2.094660851508625132e+00,1.000126885856028824e+00,1.268858560288244064e-04
1.316000000000000000e+03,6.250186244572070393e+00,9.947480360686149492e-01,-5.251963931385050799e-03,2.094462045805772110e+00,1.000031963125057155e+00,3.196312505715503960e-05
1.622000000000000000e+03,6.262343045000529962e+00,9.966828509489858989e-01,-3.317149051014101069e-03,2.094158959603313885e+00,9.998872501231446108e-01,-1.127498768553891750e-04
2.000000000000000000e+03,6.293097746710518692e+00,1.001577613749447426e+00,1.577613749447426272e-03,2.094450013772983787e+00,1.000026218252576093e+00,2.621825257609344817e-05
