cell_id,r_c,x_c,z_c,radial_pos,A_true,rel_err_N200,rel_err_N317,rel_err_N502,rel_err_N796,rel_err_N1262,rel_err_N2000
0.000000000000000000e+00,1.455442530982181681e-01,1.430172524073360929e-01,4.614584589839634821e-01,4.831126616577110511e-01,7.679423533673343516e-02,-2.021939246208193097e-03,-2.715252509323251573e-04,-8.927686096353859568e-04,7.118114591255775281e-04,2.622009047066331533e-04,8.888971420639713017e-05
1.000000000000000000e+00,9.046800706458055230e-02,3.642496467067481425e-01,-1.497920603879994150e-01,3.938470089784520400e-01,2.806022737886561258e-02,6.961580331812822209e-03,2.022352071437971688e-04,-5.699222907513679104e-04,1.496057360892200094e-03,1.438796111494777819e-04,-7.443980147181505913e-06
2.000000000000000000e+00,5.614602859042920613e-02,6.407976175250588158e-01,4.341724372110978836e-01,7.740331335670432855e-01,1.574369509496029856e-02,1.014035304206761801e-02,5.400526369341296373e-04,-1.275960721340840820e-04,-3.063790786845266290e-03,-1.002699017866315323e-03,-1.117334559805893690e-04
3.000000000000000000e+00,5.247914532927936554e-02,4.183307934582597976e-01,1.288193626042565681e-02,4.185290874446301879e-01,9.537166579357603258e-03,-1.727743070826370797e-02,7.576465337281623746e-03,-2.014846111499490888e-03,-1.847205232634596683e-03,3.368519625257526684e-05,-1.123140035769187861e-04
4.000000000000000000e+00,1.719905358800408735e-01,-2.783624552275571484e-01,5.644262339195762479e-01,6.293350697497717139e-01,1.227348121241726570e-01,-1.330680890326174648e-03,2.769213460924735415e-04,-7.016505095547298509e-05,4.709297294125391886e-05,-1.508142808850365668e-04,-9.146566718354343095e-06
5.000000000000000000e+00,1.869133365916582634e-01,6.299217320796595132e-01,-3.667296692963656346e-02,6.309883477923031725e-01,1.459956705668975507e-01,-3.177211328871720752e-03,-2.364556956194752146e-04,6.808209028774658833e-04,1.242533912051424494e-04,-7.757212623960008102e-05,-4.304485563433324558e-06
6.000000000000000000e+00,1.409953663650769795e-01,-7.769883811004316132e-02,8.391211273739737075e-01,8.427107308258388052e-01,1.304220144588061348e-01,7.102913845012270855e-03,2.130990495774698346e-03,1.209744937731072056e-03,3.680720115721847208e-04,-3.139001828604826017e-04,-4.996098366893964027e-05
7.000000000000000000e+00,1.594244841475997987e-01,1.097223010049361430e-01,-1.975380541302146908e-01,2.259651879546259734e-01,8.257006737018432463e-02,4.537711097240881841e-03,-1.924861640163477716e-03,-4.667132152487152297e-04,3.860976367340285265e-04,-2.436896244462083416e-06,9.615001528806566000e-05
8.000000000000000000e+00,1.315437487198134470e-01,2.852492662635234266e-01,5.438018843764437227e-01,6.140746154623635267e-01,6.982988375062079700e-02,6.630484298728145376e-03,-1.115992868487736267e-03,-2.374948354180839161e-03,1.682369267070882302e-04,3.909708492477736996e-04,-4.365236889469770176e-05
9.000000000000000000e+00,1.902608635681652394e-01,-5.981176735341565687e-01,-3.607536563404943331e-01,6.984897651053645351e-01,1.669657952272674828e-01,6.873242750089492148e-04,-1.903127146282157511e-03,4.912313251310695961e-04,2.616446057976951067e-04,-2.607856517667928031e-04,-7.161487687357137588e-05
1.000000000000000000e+01,1.723780331182298564e-01,3.365859081374623640e-01,-9.001567321357976936e-02,3.484148317463167666e-01,1.006328654102926212e-01,1.775712507101401272e-03,-2.107850146644607570e-03,1.020238703054010543e-03,4.659812836327326124e-05,2.889280332851740241e-05,6.498406080646113026e-05
1.100000000000000000e+01,5.041077502552221423e-02,-1.235472168943842486e-01,-5.785010809695301237e-01,5.915466300176706049e-01,9.919420322410778604e-03,2.612101974169389607e-03,7.027137286607310074e-03,4.305268155603725333e-03,-1.398269290865061798e-03,1.041605779659171560e-03,9.254973496735097171e-04
1.200000000000000000e+01,1.786106414881354354e-01,2.044530539672548830e-01,-2.516572475617823157e-02,2.059960314643002055e-01,1.033466143686110894e-01,-2.205719068353984014e-03,9.230459972480176134e-04,-1.132318431747325604e-03,-6.935020439968742068e-05,4.916282658637971537e-04,-1.239972973193781414e-04
1.300000000000000000e+01,5.503783629581965320e-02,-7.183602258037828925e-01,-3.635057595420165266e-01,8.050949330588786923e-01,1.617779526453059363e-02,6.445674814191892921e-03,4.040813942674859049e-03,-3.058894147101032246e-04,1.695599324899044191e-03,-6.347270823595652089e-04,-1.179144653845276558e-03
1.400000000000000000e+01,1.594483169644916321e-01,2.476549345371999999e-01,-2.602742208569132354e-02,2.490188613359468894e-01,8.309369710262798359e-02,-2.232098491083966962e-03,2.737369478087448016e-04,-5.820460919121472898e-04,4.741601608477807872e-04,-1.889644526908984545e-05,-6.155021848386343919e-05
1.500000000000000000e+01,7.634834309038385225e-02,3.019386986059303113e-01,-4.958815917760528436e-01,5.805734499425501127e-01,2.257944131570133531e-02,-3.068586359130653918e-04,-2.093768506549187336e-04,2.983699835805042611e-03,1.186905588847597670e-03,1.388101492876270271e-04,-7.438970906321618060e-04
1.600000000000000000e+01,1.794768383524830146e-01,1.353992826877312428e-01,-7.548333325300488061e-01,7.668809070845168385e-01,1.704322608915737614e-01,-7.494695196282874505e-03,4.067300843901833218e-05,-2.203178823915186157e-04,2.164219677254219931e-04,3.393350723479571229e-05,-1.969661387157817245e-05
1.700000000000000000e+01,1.312191830373637680e-01,4.564123581194097778e-01,-3.849294201535857218e-01,5.970618888724150697e-01,6.829026493144479959e-02,-1.238281717389155823e-03,-8.853821275169870830e-04,-1.925010556864115152e-03,2.779451764403084724e-04,2.789026715681597324e-04,3.717912895950803431e-05
1.800000000000000000e+01,9.495678358060771762e-02,-5.859263731264887642e-01,-6.357844391270277562e-01,8.645990792044776496e-01,5.978153486474633432e-02,1.469391088215377117e-02,-1.284028679136128837e-03,5.990669019502181669e-04,2.191445230433686220e-03,3.960278887689128169e-04,1.430541796707540669e-04
1.900000000000000000e+01,1.134030831796487837e-01,-4.808059819811240088e-01,6.089974490289248310e-01,7.759202827820463888e-01,6.591645656847194834e-02,-1.641893790222059835e-02,4.624424785317771125e-03,-3.863608047767197462e-04,-5.247501957600375633e-04,2.334475364578203482e-04,-9.487773549665678985e-05
2.000000000000000000e+01,5.424795067181945041e-02,-8.905762185080524640e-01,-1.599459695268917458e-01,9.048252395573411766e-01,2.249603442499210210e-02,-5.327199438043694890e-02,-4.629635385326014152e-03,-3.377728889499942433e-03,3.194646829407732369e-03,5.793003516867401004e-04,3.917162987785438588e-04
2.100000000000000000e+01,6.864249147493459158e-02,4.890660405136249694e-02,3.288174716106975204e-01,3.324346335090382909e-01,1.571992474671692758e-02,1.360965812038861245e-02,-1.049461897035697255e-02,1.517354113506730329e-03,9.292528727393722932e-04,-3.052004595455182212e-04,-5.765469893848074179e-05
2.200000000000000000e+01,1.505936622040445760e-01,3.967195833446413022e-02,-2.269385801738970088e-01,2.303800847500402926e-01,7.369806557886551812e-02,-1.975637907723815090e-03,-1.635842482817118082e-03,1.207340454136174301e-03,3.666904198911247192e-04,3.338189918487000085e-04,6.266341162075583782e-05
2.300000000000000000e+01,1.470784267361375242e-01,1.088686904393001698e-01,1.982629928543914177e-01,2.261871041716318198e-01,7.020295620894032029e-02,-2.359422717642445377e-03,-7.499691460759461137e-04,6.160327968669498944e-04,-2.449892841660528120e-05,1.136007238244918227e-04,-3.181057324452840618e-05
2.400000000000000000e+01,1.423077667221880893e-01,-7.072573407039769444e-01,-3.727566539264225431e-01,7.994751209550452486e-01,1.127054908262460908e-01,3.495355608869044062e-03,1.170073555176509572e-03,-1.765662359950459503e-03,-4.442958645810568541e-04,2.546392849080980625e-04,-2.257158164253869614e-05
2.500000000000000000e+01,1.075516331392825237e-01,-6.926421107086287998e-01,-1.589366980688823316e-01,7.106433476223804613e-01,5.245609114578875243e-02,2.558111356349312970e-03,1.932431609203533185e-03,1.453040395037463739e-03,-5.694834547280702708e-04,4.669185054504421117e-04,-3.242361093580559128e-05
2.600000000000000000e+01,1.995814903683816866e-01,-2.657986093758069601e-01,-4.974832482792463928e-01,5.640376610338915242e-01,1.556183422348639822e-01,-2.177434155843371855e-04,5.185160715417413968e-04,-3.236980122056642983e-05,-1.365975915448292000e-04,9.494726694114774546e-05,-3.465489155007883681e-05
2.700000000000000000e+01,1.971253008164345344e-01,2.137787506807875548e-02,-3.239820138974279229e-01,3.246865548054916895e-01,1.307718799527895770e-01,2.891881127711659616e-03,-1.264464330632875111e-03,8.228481404781717856e-04,-7.480881981369869038e-05,1.235516425035498855e-05,5.575632312959655223e-05
2.800000000000000000e+01,1.528312976721042382e-01,5.362683514946930963e-01,4.426638079885025223e-01,6.953668037214010278e-01,1.051687235867745929e-01,4.694872181306486425e-03,3.409217021288046823e-03,-9.108741927952301864e-04,3.695356243786918071e-04,4.425885357579595336e-04,-5.860347860409120813e-05
2.900000000000000000e+01,1.475688914401724616e-01,-3.400405945715896383e-01,-3.397884128189276320e-01,4.807117342468417154e-01,7.884398491325037006e-02,5.795574801594982617e-03,1.844665462439554204e-03,8.624859285144559351e-05,-6.738671349079128348e-04,5.416565311255894244e-05,-1.203445719224482957e-04
3.000000000000000000e+01,1.532670095856410453e-01,-6.120966079198515430e-01,3.674341628055380338e-01,7.139118442942342657e-01,1.090106646092067755e-01,8.206453046897266290e-04,4.153895764124282408e-03,1.076570422533507099e-04,-3.061261830633599246e-04,2.737015194296255061e-04,1.157561575693133449e-04
3.100000000000000000e+01,1.083382135968655735e-01,-4.558098968628909731e-01,-3.978037040640291511e-01,6.049879742980194264e-01,4.672069388357172337e-02,-4.924114282788716324e-03,-1.059949548085969973e-03,-5.858711486095291576e-05,-4.687106608181057510e-04,-1.130724628263246601e-04,1.542720505096628614e-04
3.200000000000000000e+01,7.026447575336168538e-02,-2.283225382557906025e-01,-6.217152880093643752e-01,6.623149408099848756e-01,2.080226630582854286e-02,-7.370872191449828748e-03,1.447382374792249848e-03,3.067253965766569834e-03,-1.253469670681850445e-03,2.151783284811692454e-04,2.616304552962578356e-04
3.300000000000000000e+01,1.582232510291122773e-01,-6.427098710700640538e-01,-3.827162901744611823e-01,7.480292354820102796e-01,1.242741541523970927e-01,1.760023031732504961e-03,-1.426292394686723419e-03,-3.417171179459499442e-04,4.298007414049731523e-04,-1.055330915263885672e-04,1.714334068325662486e-05
3.400000000000000000e+01,1.288031483713588943e-01,-2.847441764898390668e-02,-2.637831217014762752e-01,2.653155249038861019e-01,5.432877505717344235e-02,-4.036902756740401443e-03,-1.057239458890801842e-03,-1.135807881724515411e-03,1.221594013860460848e-04,3.401001371794443173e-04,-3.027390089760384484e-05
3.500000000000000000e+01,9.653628133384335730e-02,-6.818872689985463476e-01,-8.625233662005316049e-02,6.873206771185592645e-01,4.073911599292769081e-02,-1.360196972150173877e-03,-5.444184512698457823e-04,4.063097381257207985e-05,1.392055532163150033e-03,-5.358890075254363339e-04,-1.407596803234545391e-04
3.600000000000000000e+01,1.228753038247683699e-01,-3.789871809493351451e-01,9.006095810960165760e-02,3.895410883328529472e-01,5.179583944420179664e-02,-4.897410557035519751e-03,1.074866664115159409e-03,9.556474566800865489e-04,3.170929676983291756e-04,-1.548400042772346552e-04,2.784812685998616644e-04
3.700000000000000000e+01,1.834231751523500709e-01,-1.680851810439495109e-01,7.145705760100328208e-01,7.340733861037923580e-01,1.652541897072972166e-01,5.167365453678574028e-03,1.275338688795590869e-03,-2.600730282650287606e-04,-2.541460961807961993e-04,3.804888884344492794e-04,-1.241196808543509889e-04
3.800000000000000000e+01,1.901065273934374744e-01,7.396433183685288681e-02,5.614060964822948918e-01,5.662574746098808509e-01,1.411152299363793716e-01,1.202579053161345612e-03,-1.149508261541698495e-03,1.744859172547741366e-05,-2.793163412161403514e-04,5.803294327866304059e-05,9.156548182165380467e-05
3.900000000000000000e+01,1.036692795063605399e-01,-3.003078702433414349e-01,-8.391315006384411079e-01,8.912499606136393693e-01,8.600351720155460788e-02,-1.551092037671164547e-02,3.255174138717231713e-03,-2.479700668197915014e-03,-1.279324390095037955e-03,1.082062523508620089e-03,1.807761251932937796e-04
4.000000000000000000e+01,1.357294746094641624e-01,-1.236636475137466717e-01,-3.483666113399020992e-01,3.696647043103393204e-01,6.270620028478188224e-02,-3.017570920385570510e-03,7.820328437180279479e-05,7.268355984346719367e-04,-4.954284099225603200e-04,-1.295020576885796970e-04,-2.258533756627212341e-04
4.100000000000000000e+01,9.828040866139133025e-02,2.972200680669477291e-01,8.334802824009710509e-01,8.848893433717707202e-01,7.190931407694134414e-02,-7.939656679347373291e-03,-2.770795992823815723e-03,7.605968479229563428e-04,4.090291575158389037e-04,3.336357085099717068e-04,2.768630850173980917e-04
4.200000000000000000e+01,1.391450045299545413e-01,7.583833145112686136e-01,-1.356148826068745983e-01,7.704132969475372406e-01,9.962427949540911265e-02,-2.695921137324974737e-03,1.401285551896336301e-04,-3.607789061755850568e-04,-2.548339654305786794e-04,3.943445996945627030e-05,-3.217753145934310055e-05
4.300000000000000000e+01,1.006866838260699892e-01,-2.965956822587439423e-01,-5.488691807562401381e-01,6.238800977099333567e-01,4.109190065791043511e-02,-7.163580618355647189e-04,-8.976247773110790362e-03,7.225291048227333590e-04,5.387839874178013133e-04,2.914596678733616386e-04,-5.193990829810424259e-05
4.400000000000000000e+01,1.087428500792241987e-01,-7.884664437027769646e-01,-1.566612656268930870e-01,8.038793970448081527e-01,6.466747065287245522e-02,2.035278774092930121e-03,3.391587435960907726e-03,-1.992332987080791540e-04,6.226890780625105037e-05,-2.546303781802983224e-05,-2.851564519509297568e-04
4.500000000000000000e+01,1.835411528007188653e-01,3.436179493364159288e-01,-5.327183392883697577e-01,6.339259610714190751e-01,1.411053313252902952e-01,4.031954855449493280e-03,1.581987579395205401e-03,2.997145121013122804e-04,7.433633549698281939e-04,8.518922970579545506e-05,-1.316314612760383085e-04
4.600000000000000000e+01,8.407363903000697469e-02,-7.386893516923475067e-01,6.271303289133181580e-02,7.413466684339318213e-01,3.346989276182239792e-02,-4.549288441206833511e-04,1.176113741985229666e-04,-1.778803506382486965e-03,-2.725212580916736016e-03,-2.073034595294620530e-04,-4.942559255238787586e-05
4.700000000000000000e+01,1.434780717029063846e-01,-8.093913428889797368e-01,1.232738335518465400e-01,8.187250967096307841e-01,1.222295557137754729e-01,-4.642953313453879183e-03,-2.391712192256423286e-03,5.646234785317005844e-04,-6.499654467904125710e-04,-1.217027344284637991e-04,3.194858313086967883e-04
4.800000000000000000e+01,6.260230153735772685e-02,-1.244522627983732886e-02,2.391634881833591131e-01,2.394870721713139028e-01,1.269549754020118937e-02,-1.710024676500965235e-02,-2.052515409188782058e-02,6.865894305951858456e-03,8.884400727373620299e-04,-4.607499314607244045e-04,8.809782838792301618e-06
4.900000000000000000e+01,1.748966221480096894e-01,4.193289228198154861e-01,6.265935975997123375e-01,7.539603982081399813e-01,1.559265973256841464e-01,5.141453869006440414e-04,-1.061315718951627574e-03,5.007978736517593177e-04,-5.110603878205610684e-04,3.045835417720965665e-04,-2.791767759113827907e-05
5.000000000000000000e+01,1.680647461233025219e-01,-1.227656567854340658e-01,-4.991881544802008186e-01,5.140624670789609718e-01,1.050485898803182744e-01,8.083417839142015282e-04,8.758435482025817009e-04,1.231136371757646231e-04,5.817974521504787333e-04,1.038778244253357741e-04,4.045391296059186459e-05
5.100000000000000000e+01,8.590541644894283957e-02,2.907411911400737403e-01,-4.329957905325138023e-01,5.215513348122363668e-01,2.728121954730020754e-02,1.364893981563364278e-03,-5.986794618852653294e-03,2.316036711144331406e-03,-6.513180831180243047e-04,-2.361565150672539914e-04,1.794015932590209417e-04
5.200000000000000000e+01,1.814726346216056219e-01,-3.576487354888899239e-01,-7.335342145757069998e-01,8.160790782454855341e-01,2.133144877047566945e-01,-6.386879352176855207e-03,-6.554750179155188761e-04,3.952719146982364151e-04,2.216979451108436194e-04,-1.986984168707017773e-04,-7.777718912771458548e-05
5.300000000000000000e+01,5.878520522077915200e-02,-5.649637090501400394e-01,6.106236008083768541e-01,8.318925257555084274e-01,1.981448611226654943e-02,-2.300847273310302477e-02,-1.400297041222564598e-02,-1.303845112892831892e-03,-4.149774692764673922e-03,1.205323379451561649e-03,2.899471393109642747e-04
5.400000000000000000e+01,1.004175590818490726e-01,-5.572147120087483918e-01,-2.871069147479385353e-01,6.268322070339656937e-01,4.099955592769427559e-02,8.434335648248136863e-03,5.406537192687466131e-03,-1.297087418278941584e-03,2.014625256598900904e-04,5.599751888882842366e-04,-9.635213324621361153e-05
5.500000000000000000e+01,7.254192003422586799e-02,-5.557113152714193705e-01,-2.339247528303526058e-01,6.029393467899009096e-01,2.080292898386094935e-02,2.860165102463096964e-02,6.285343212896199461e-03,-1.482024089065836492e-03,5.037236967673219823e-04,-1.319654982832485501e-03,-7.540575492126500023e-06
5.600000000000000000e+01,1.175509049973930548e-01,7.618533055203496884e-01,-3.208203484343303824e-01,8.266475398268650077e-01,8.149886781379668543e-02,6.242531102532478116e-03,1.458116897974370829e-04,1.388851150865511030e-03,-5.187159368524874026e-04,3.568400356093182069e-04,-4.460246884929741640e-05
5.700000000000000000e+01,1.694486405430941645e-01,-1.862578726347526026e-01,1.587269814342233409e-01,2.447166724063646881e-01,9.382584432621314530e-02,3.387320468081211899e-03,7.662911374746173010e-04,-2.361372272495776414e-04,-3.156180122989571402e-04,-1.438765148618070810e-04,1.004428034359072797e-04
5.800000000000000000e+01,8.459633134906212326e-02,3.931081885238781326e-01,6.626426487185358427e-01,7.704734439195434215e-01,3.579036891773291346e-02,1.036409698589713102e-02,7.815845350962913329e-03,-1.790546286247751695e-03,-1.463970998651475952e-03,-7.365371316476743146e-04,2.478498005282769867e-04
5.900000000000000000e+01,5.780319515966144545e-02,5.989885577687398266e-01,-5.846133292532281756e-01,8.369946457883815638e-01,1.943521226884325354e-02,1.073158978434185507e-02,4.308021122199079400e-03,9.813848644892875228e-04,-5.932514505593289300e-04,-1.222825988783760032e-03,2.419722872173402095e-04
6.000000000000000000e+01,1.106827759732292443e-01,6.273646881186110136e-01,-4.883503626841590450e-01,7.950298916593713239e-01,6.557282601833674951e-02,5.172714336418859915e-03,-7.198239702064568313e-03,-9.842798756791726333e-04,-9.047508763266876031e-04,6.366511484274806065e-04,1.058233389577001304e-04
