cell_id,r_c,x_c,z_c,radial_pos,A_true,rel_err_N200,rel_err_N317,rel_err_N502,rel_err_N796,rel_err_N1262,rel_err_N2000
0.000000000000000000e+00,1.409953663650769795e-01,3.245571490615546395e-01,6.169505458881152649e-02,3.303689191913800616e-01,6.661322740718618463e-02,6.259679992131061965e-04,-3.179565282921847924e-03,8.362849313614528768e-04,-1.084532590654996298e-04,1.073950616934382651e-04,-5.687277502186560696e-05
1.000000000000000000e+00,7.634834309038385225e-02,5.136125575552548117e-01,5.863501998880349397e-02,5.169486675169376877e-01,2.145917160299005283e-02,-1.033866470305788710e-04,-1.972215345814487542e-03,-2.322716669370339382e-03,7.262202819846574897e-04,9.600921139125695447e-04,2.060321685148913673e-05
2.000000000000000000e+00,6.864249147493459158e-02,2.412993613317031549e-01,2.081574035073761042e-01,3.186767741992196923e-01,1.564076668096504863e-02,1.323914700751349649e-02,-5.070285007883756911e-03,-1.717309636185326838e-03,-2.443191105715558642e-03,1.052366827083650591e-03,-8.797383722591867183e-05
3.000000000000000000e+00,1.971253008164345344e-01,2.623959908422167642e-01,2.127815490827861256e-01,3.378278313581325465e-01,1.314559668360564260e-01,-2.868904231290492213e-03,-1.709751677999804542e-03,6.523711056982683942e-04,3.892643527281247628e-04,9.081270658439777321e-05,3.374894410557160995e-05
4.000000000000000000e+00,1.532670095856410453e-01,-1.570888286978422421e-01,-5.160514715546485887e-01,5.394312017258348080e-01,8.886468204930234038e-02,1.158343193902178214e-03,4.405194733005934893e-04,1.030707587760693045e-03,-9.497805620928279069e-05,1.750345621907012372e-04,-1.668248982311659745e-04
5.000000000000000000e+00,1.582232510291122773e-01,3.585642670995248249e-02,-2.683585131550063618e-01,2.707433746542506348e-01,8.232797683206558026e-02,-4.313962164892104489e-03,1.071864729834004493e-03,-9.641954138288610920e-04,7.726859594381352281e-06,-2.242623770735141520e-04,6.407892425186467733e-05
6.000000000000000000e+00,1.036692795063605399e-01,1.011584567322796335e-01,-2.519147230141804972e-01,2.714665007690042486e-01,3.519581699059776136e-02,-5.180583717584674730e-03,4.444799364970108968e-03,-5.503592242456223360e-04,-1.188965544353326464e-03,-3.990237321007672477e-04,9.989044056935014737e-05
7.000000000000000000e+00,1.391450045299545413e-01,-2.292281431962462923e-01,-1.532738793566256197e-01,2.757506549878498414e-01,6.365630654472309580e-02,1.138926402338036326e-03,1.337906651651232792e-03,-2.380302798378752804e-03,-2.974536180072595570e-04,-2.683710531059535498e-04,-1.262209700608751817e-04
8.000000000000000000e+00,1.835411528007188653e-01,-3.858574316156070383e-01,1.742129307250178671e-01,4.233628500055156563e-01,1.184683974145672031e-01,3.585547411615985780e-03,-6.070482185324133084e-04,3.783940161918852851e-04,-1.100555268976899370e-04,7.334240452738782778e-05,4.864246500702051890e-06
9.000000000000000000e+00,6.260230153735772685e-02,4.704298650554734618e-01,4.060183201848570622e-01,6.214138188533017138e-01,1.576374846021074555e-02,7.116449953122216954e-03,-1.207275336263857746e-03,6.841239331904613863e-03,-1.695283475758868619e-04,-6.506099862235714681e-04,-1.631363635308247240e-04
